dataset,observable,input_val,ideal_energy,grad_param_0,grad_param_1,grad_param_2,grad_param_3,grad_param_4,grad_param_5,grad_param_6,grad_param_7,grad_param_8,grad_param_9,grad_param_10,grad_param_11
single_01,IIII,-2.700000000000008,1.0000000000000004,-4.440892098500626e-16,2.220446049250313e-16,0.0,4.440892098500626e-16,-6.661338147750939e-16,0.0,0.0,0.0,-4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0.0
single_01,IIII,-2.6000000000000085,0.9999999999999989,-4.440892098500626e-16,0.0,4.440892098500626e-16,0.0,-6.661338147750939e-16,2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16,-4.440892098500626e-16,0.0
single_01,IIII,-2.500000000000009,1.0000000000000004,8.881784197001252e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,-4.440892098500626e-16,0.0
single_01,IIII,-2.4000000000000092,1.0000000000000009,0.0,4.440892098500626e-16,-4.440892098500626e-16,-8.881784197001252e-16,-4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16,-8.881784197001252e-16,0.0,0.0,0.0,-4.440892098500626e-16
single_01,IIII,-2.3000000000000096,0.9999999999999987,0.0,-4.440892098500626e-16,0.0,2.220446049250313e-16,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-4.440892098500626e-16,-2.220446049250313e-16,2.220446049250313e-16,0.0
single_01,IIII,-2.20000000000001,1.0000000000000004,-8.881784197001252e-16,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,-4.440892098500626e-16
single_01,IIII,-2.1000000000000103,0.9999999999999987,6.661338147750939e-16,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,2.220446049250313e-16
single_01,IIII,-2.0000000000000107,0.9999999999999998,-4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,0.0,2.220446049250313e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,4.440892098500626e-16
single_01,IIII,-1.900000000000011,1.0000000000000004,-2.220446049250313e-16,-4.440892098500626e-16,0.0,4.440892098500626e-16,-4.440892098500626e-16,-2.220446049250313e-16,0.0,0.0,0.0,-4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16
single_01,IIII,-1.8000000000000114,1.0000000000000004,0.0,0.0,4.440892098500626e-16,-6.661338147750939e-16,0.0,0.0,4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0
single_01,IIII,-1.7000000000000117,1.0,-4.440892098500626e-16,-6.661338147750939e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0
single_01,IIII,-1.600000000000012,1.0,0.0,2.220446049250313e-16,-4.440892098500626e-16,0.0,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,0.0
single_01,IIII,-1.5000000000000124,1.0,-2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,-2.220446049250313e-16,-4.440892098500626e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16
single_01,IIII,-1.4000000000000128,0.9999999999999987,-4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
single_01,IIII,-1.3000000000000131,0.9999999999999996,-4.440892098500626e-16,0.0,2.220446049250313e-16,0.0,-4.440892098500626e-16,-2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0
single_01,IIII,-1.2000000000000135,0.9999999999999987,-4.440892098500626e-16,0.0,-2.220446049250313e-16,-4.440892098500626e-16,-2.220446049250313e-16,0.0,0.0,0.0,0.0,-4.440892098500626e-16,-2.220446049250313e-16,-2.220446049250313e-16
single_01,IIII,-1.1000000000000139,1.0000000000000004,-4.440892098500626e-16,-4.440892098500626e-16,4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,-4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16,0.0
single_01,IIII,-1.0000000000000142,1.0000000000000004,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,6.661338147750939e-16,-4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,0.0,0.0
single_01,IIII,-0.9000000000000146,1.0000000000000009,4.440892098500626e-16,0.0,0.0,0.0,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
single_01,IIII,-0.8000000000000149,1.0000000000000009,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16,0.0,-4.440892098500626e-16,-4.440892098500626e-16
single_01,IIII,-0.7000000000000153,1.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0
single_01,IIII,-0.6000000000000156,1.0000000000000013,-4.440892098500626e-16,0.0,0.0,0.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,-4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16,0.0
single_01,IIII,-0.500000000000016,1.0000000000000004,0.0,4.440892098500626e-16,4.440892098500626e-16,-4.440892098500626e-16,0.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0
single_01,IIII,-0.40000000000001634,0.9999999999999987,2.220446049250313e-16,0.0,-2.220446049250313e-16,-4.440892098500626e-16,-2.220446049250313e-16,0.0,2.220446049250313e-16,-8.881784197001252e-16,-2.220446049250313e-16,0.0,0.0,-4.440892098500626e-16
single_01,IIII,-0.3000000000000167,1.0,-2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,-4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,-4.440892098500626e-16,2.220446049250313e-16,0.0,0.0
single_01,IIII,-0.20000000000001705,1.0,0.0,-2.220446049250313e-16,4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16,0.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0
single_01,IIII,-0.10000000000001741,1.0000000000000009,0.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,8.881784197001252e-16,0.0,0.0,4.440892098500626e-16,0.0,4.440892098500626e-16,0.0,0.0
single_01,IIII,-1.7763568394002505e-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_01,IIII,0.09999999999998188,1.0000000000000004,0.0,-1.5543122344752192e-15,0.0,4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,0.0
single_01,IIII,0.19999999999998153,1.0000000000000004,0.0,-4.440892098500626e-16,4.440892098500626e-16,6.661338147750939e-16,0.0,8.881784197001252e-16,4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,4.440892098500626e-16,0.0
single_01,IIII,0.29999999999998117,1.0000000000000004,-2.220446049250313e-16,-4.440892098500626e-16,0.0,4.440892098500626e-16,-2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,4.440892098500626e-16,2.220446049250313e-16,0.0
single_01,IIII,0.3999999999999808,0.9999999999999993,6.661338147750939e-16,0.0,6.661338147750939e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16,0.0,-2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16
single_01,IIII,0.49999999999998046,0.9999999999999996,-4.440892098500626e-16,-6.661338147750939e-16,-2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,-2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0,2.220446049250313e-16
single_01,IIII,0.5999999999999801,1.0000000000000004,0.0,0.0,0.0,-4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,0.0,0.0
single_01,IIII,0.6999999999999797,1.0000000000000013,0.0,-4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,0.0,-4.440892098500626e-16
single_01,IIII,0.7999999999999794,0.9999999999999998,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,4.440892098500626e-16,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,0.0
single_01,IIII,0.899999999999979,0.9999999999999989,-2.220446049250313e-16,0.0,-2.220446049250313e-16,-4.440892098500626e-16,-2.220446049250313e-16,2.220446049250313e-16,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-6.661338147750939e-16,-4.440892098500626e-16,0.0
single_01,IIII,0.9999999999999787,1.0000000000000004,-4.440892098500626e-16,-4.440892098500626e-16,-8.881784197001252e-16,0.0,-4.440892098500626e-16,0.0,0.0,-4.440892098500626e-16,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0
single_01,IIII,1.0999999999999783,1.0000000000000004,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,-4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,0.0
single_01,IIII,1.199999999999978,1.0000000000000004,-4.440892098500626e-16,4.440892098500626e-16,0.0,-4.440892098500626e-16,4.440892098500626e-16,-4.440892098500626e-16,4.440892098500626e-16,-4.440892098500626e-16,0.0,-4.440892098500626e-16,-4.440892098500626e-16,0.0
single_01,IIII,1.2999999999999776,1.0000000000000013,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0
single_01,IIII,1.3999999999999773,0.9999999999999991,-2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,-4.440892098500626e-16,2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
single_01,IIII,1.499999999999977,1.0000000000000004,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,4.440892098500626e-16
single_01,IIII,1.5999999999999766,0.9999999999999998,0.0,0.0,0.0,4.440892098500626e-16,2.220446049250313e-16,-2.220446049250313e-16,-4.440892098500626e-16,-4.440892098500626e-16,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.0
single_01,IIII,1.6999999999999762,0.9999999999999989,-2.220446049250313e-16,-6.661338147750939e-16,6.661338147750939e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-15,2.220446049250313e-16,-2.220446049250313e-16,6.661338147750939e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
single_01,IIII,1.7999999999999758,1.0,-4.440892098500626e-16,0.0,-2.220446049250313e-16,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,0.0,-4.440892098500626e-16,-4.440892098500626e-16,-2.220446049250313e-16
single_01,IIII,1.8999999999999755,1.0000000000000004,4.440892098500626e-16,-2.220446049250313e-16,0.0,0.0,-4.440892098500626e-16,0.0,4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,0.0,0.0
single_01,IIII,1.9999999999999751,1.0000000000000013,-4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,-4.440892098500626e-16,4.440892098500626e-16,-4.440892098500626e-16,0.0,-4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16
single_01,IIII,2.0999999999999748,1.0000000000000004,4.440892098500626e-16,0.0,0.0,0.0,0.0,-4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0
single_01,IIII,2.1999999999999744,1.0,0.0,4.440892098500626e-16,4.440892098500626e-16,-2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16,4.440892098500626e-16,6.661338147750939e-16,0.0,0.0,0.0,0.0
single_01,IIII,2.299999999999974,1.0000000000000004,2.220446049250313e-16,-4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,-2.220446049250313e-16,-6.661338147750939e-16,0.0,0.0,-2.220446049250313e-16,-4.440892098500626e-16,0.0
single_01,IIII,2.3999999999999737,1.0000000000000013,0.0,-8.881784197001252e-16,0.0,4.440892098500626e-16,0.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,-4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16
single_01,IIII,2.4999999999999734,0.9999999999999989,-4.440892098500626e-16,-4.440892098500626e-16,-2.220446049250313e-16,0.0,-2.220446049250313e-16,-4.440892098500626e-16,2.220446049250313e-16,0.0,-2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16,0.0
single_01,IIII,2.599999999999973,1.0000000000000009,0.0,-4.440892098500626e-16,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,-4.440892098500626e-16
